english_title;german_title;rated;released;genre;director;writer;type;imdb_rating;tag
Jurassic World: Dominion;Jurassic World: Ein neues Zeitalter;PG-13;2022;Action, Adventure, Sci-Fi;Colin Trevorrow;Emily Carmichael, Colin Trevorrow, Derek Connolly;movie;5.6;Jurassic Park, Jurassic World
Transformers;Transformers;PG-13;2007;Action, Adventure, Sci-Fi;Michael Bay;Roberto Orci, Alex Kurtzman, John Rogers;movie;7.1;Transformers
Transformers: Revenge of the Fallen;Transformers – Die Rache;PG-13;2009;Action, Adventure, Sci-Fi;Michael Bay;Ehren Kruger, Roberto Orci, Alex Kurtzman;movie;6.0;Transformers
Transformers: Dark of the Moon;Transformers 3 – Die dunkle Seite des Mondes;PG-13;2011;Action, Adventure, Sci-Fi;Michael Bay;Ehren Kruger;movie;6.2;Transformers
Transformers: Age of Extinction;Transformers: Ära des Untergangs;PG-13;2014;Action, Adventure, Sci-Fi;Michael Bay;Ehren Kruger;movie;5.6;Transformers
Transformers: The Last Knight;Transformers: The Last Knight;PG-13;2017;Action, Adventure, Sci-Fi;Michael Bay;Art Marcum, Matt Holloway, Ken Nolan;movie;5.2;Transformers
Bumblebee;Bumblebee;PG-13;2018;Action, Adventure, Sci-Fi;Travis Knight;Christina Hodson;movie;6.7;Transformers
Transformers: Rise of the Beasts;Transformers: Aufstieg der Bestien;PG-13;2023;Action, Adventure, Sci-Fi;Steven Caple Jr.;Joby Harold, Darnell Metayer, Josh Peters;movie;6.0;Transformers
Shrek;Shrek – Der tollkühne Held;PG;2001;Animation, Adventure, Comedy;Andrew Adamson, Vicky Jenson;William Steig, Ted Elliott, Terry Rossio;movie;7.9;Shrek
Shrek 2;Shrek 2 – Der tollkühne Held kehrt zurück;PG;2004;Animation, Adventure, Comedy;Andrew Adamson, Kelly Asbury, Conrad Vernon;William Steig, Andrew Adamson, Joe Stillman;movie;7.4;Shrek
Shrek the Third;Shrek der Dritte;PG;2007;Animation, Adventure, Comedy;Chris Miller, Raman Hui;William Steig, Andrew Adamson, Jeffrey Price;movie;6.1;Shrek
